date,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio,,,,,,,,,,,,
01-02-2022,,Beijing,China,2022-01-03 02:22:25,40.1824,116.4142,1215,9,,,"Beijing, China",5.640668524,0.740740741,,,,,,,,,,,,
01-03-2022,,Beijing,China,2022-01-04 04:22:17,40.1824,116.4142,1215,9,,,"Beijing, China",5.640668524,0.740740741,,,,,,,,,,,,
01-04-2022,,Beijing,China,2022-01-05 04:21:59,40.1824,116.4142,1216,9,,,"Beijing, China",5.645311049,0.740131579,,,,,,,,,,,,
01-05-2022,,Beijing,China,1/6/2022 4:22,40.1824,116.4142,1216,9,,,"Beijing, China",5.645311049,0.740131579,,,,,,,,,,,,
01-06-2022,,Beijing,China,2022-01-07 04:22:09,40.1824,116.4142,1217,9,,,"Beijing, China",5.649953575,0.739523418,,,,,,,,,,,,
01-07-2022,,Beijing,China,2022-01-08 04:21:53,40.1824,116.4142,1217,9,,,"Beijing, China",5.649953575,0.739523418,,,,,,,,,,,,
01-08-2022,,Beijing,China,2022-01-09 04:21:46,40.1824,116.4142,1218,9,,,"Beijing, China",5.6545961,0.738916256,,,,,,,,,,,,
01-09-2022,,Beijing,China,2022-01-10 04:22:07,40.1824,116.4142,1218,9,,,"Beijing, China",5.6545961,0.738916256,,,,,,,,,,,,
01-10-2022,,Beijing,China,2022-01-11 04:22:01,40.1824,116.4142,1219,9,,,"Beijing, China",5.659238626,0.73831009,,,,,,,,,,,,
01-11-2022,,Beijing,China,2022-01-12 04:21:44,40.1824,116.4142,1221,9,,,"Beijing, China",5.668523677,0.737100737,,,,,,,,,,,,
01-12-2022,,Beijing,China,2022-01-13 08:00:09,40.1824,116.4142,1222,9,,,"Beijing, China",5.673166202,0.736497545,,,,,,,,,,,,
01-13-2022,,Beijing,China,2022-01-14 04:21:54,40.1824,116.4142,1223,9,,,"Beijing, China",5.677808728,0.735895339,,,,,,,,,,,,
01-14-2022,,Beijing,China,2022-01-15 04:21:07,40.1824,116.4142,1223,9,,,"Beijing, China",5.677808728,0.735895339,,,,,,,,,,,,
01-15-2022,,Beijing,China,2022-01-16 04:21:12,40.1824,116.4142,1225,9,,,"Beijing, China",5.687093779,0.734693878,,,,,,,,,,,,
01-16-2022,,Beijing,China,2022-01-17 04:21:08,40.1824,116.4142,1226,9,,,"Beijing, China",5.691736305,0.734094617,,,,,,,,,,,,
01-17-2022,,Beijing,China,2022-01-18 04:21:04,40.1824,116.4142,1230,9,,,"Beijing, China",5.710306407,0.731707317,,,,,,,,,,,,
01-18-2022,,Beijing,China,2022-01-19 04:21:23,40.1824,116.4142,1236,9,,,"Beijing, China",5.73816156,0.72815534,,,,,,,,,,,,
01-19-2022,,Beijing,China,2022-01-20 04:21:07,40.1824,116.4142,1240,9,,,"Beijing, China",5.756731662,0.725806452,,,,,,,,,,,,
01-20-2022,,Beijing,China,2022-01-21 04:21:09,40.1824,116.4142,1247,9,,,"Beijing, China",5.789229341,0.721732157,,,,,,,,,,,,
01-21-2022,,Beijing,China,2022-01-22 04:21:13,40.1824,116.4142,1258,9,,,"Beijing, China",5.840297122,0.715421304,,,,,,,,,,,,
01-22-2022,,Beijing,China,2022-01-23 04:21:13,40.1824,116.4142,1267,9,,,"Beijing, China",5.882079851,0.710339384,,,,,,,,,,,,
01-23-2022,,Beijing,China,2022-01-24 04:21:12,40.1824,116.4142,1274,9,,,"Beijing, China",5.91457753,0.706436421,,,,,,,,,,,,
01-24-2022,,Beijing,China,2022-01-25 04:21:05,40.1824,116.4142,1282,9,,,"Beijing, China",5.951717734,0.702028081,,,,,,,,,,,,
01-25-2022,,Beijing,China,2022-01-26 04:21:07,40.1824,116.4142,1298,9,,,"Beijing, China",6.025998143,0.693374422,,,,,,,,,,,,
01-26-2022,,Beijing,China,2022-01-27 04:21:19,40.1824,116.4142,1303,9,,,"Beijing, China",6.049210771,0.690713738,,,,,,,,,,,,
01-27-2022,,Beijing,China,2022-01-28 04:21:09,40.1824,116.4142,1313,9,,,"Beijing, China",6.095636026,0.685453161,,,,,,,,,,,,
01-28-2022,,Beijing,China,2022-01-29 04:21:10,40.1824,116.4142,1318,9,,,"Beijing, China",6.118848654,0.682852807,,,,,,,,,,,,
01-29-2022,,Beijing,China,2022-01-30 04:21:26,40.1824,116.4142,1341,9,,,"Beijing, China",6.225626741,0.67114094,,,,,,,,,,,,
01-30-2022,,Beijing,China,2022-01-31 04:21:09,40.1824,116.4142,1344,9,,,"Beijing, China",6.239554318,0.669642857,,,,,,,,,,,,
01-31-2022,,Beijing,China,2022-02-01 04:21:11,40.1824,116.4142,1348,9,,,"Beijing, China",6.25812442,0.667655786,,,,,,,,,,,,
02-01-2022,,Beijing,China,2022-02-02 04:21:09,40.1824,116.4142,1351,9,,,"Beijing, China",6.272051996,0.666173205,,,,,,,,,,,,
02-02-2022,,Beijing,China,2022-02-03 04:21:21,40.1824,116.4142,1355,9,,,"Beijing, China",6.290622098,0.664206642,,,,,,,,,,,,
02-03-2022,,Beijing,China,2022-02-04 04:21:10,40.1824,116.4142,1357,9,,,"Beijing, China",6.299907149,0.663227708,,,,,,,,,,,,
02-04-2022,,Beijing,China,2022-02-05 04:21:05,40.1824,116.4142,1358,9,,,"Beijing, China",6.304549675,0.662739323,,,,,,,,,,,,
02-05-2022,,Beijing,China,2022-02-06 04:21:00,40.1824,116.4142,1359,9,,,"Beijing, China",6.309192201,0.662251656,,,,,,,,,,,,
02-06-2022,,Beijing,China,2022-02-07 04:21:05,40.1824,116.4142,1363,9,,,"Beijing, China",6.327762303,0.660308144,,,,,,,,,,,,
02-07-2022,,Beijing,China,2022-02-08 04:21:15,40.1824,116.4142,1364,9,,,"Beijing, China",6.332404828,0.659824047,,,,,,,,,,,,
02-08-2022,,Beijing,China,2022-02-09 04:21:04,40.1824,116.4142,1365,9,,,"Beijing, China",6.337047354,0.659340659,,,,,,,,,,,,
02-09-2022,,Beijing,China,2022-02-10 04:21:14,40.1824,116.4142,1365,9,,,"Beijing, China",6.337047354,0.659340659,,,,,,,,,,,,
02-10-2022,,Beijing,China,2022-02-11 04:21:09,40.1824,116.4142,1365,9,,,"Beijing, China",6.337047354,0.659340659,,,,,,,,,,,,
02-11-2022,,Beijing,China,2022-02-12 04:21:06,40.1824,116.4142,1365,9,,,"Beijing, China",6.337047354,0.659340659,,,,,,,,,,,,
02-12-2022,,Beijing,China,2022-02-13 04:21:00,40.1824,116.4142,1367,9,,,"Beijing, China",6.346332405,0.658376006,,,,,,,,,,,,
02-13-2022,,Beijing,China,2022-02-14 04:20:51,40.1824,116.4142,1367,9,,,"Beijing, China",6.346332405,0.658376006,,,,,,,,,,,,
02-14-2022,,Beijing,China,2022-02-15 04:21:09,40.1824,116.4142,1368,9,,,"Beijing, China",6.35097493,0.657894737,,,,,,,,,,,,
02-15-2022,,Beijing,China,2022-02-16 04:21:10,40.1824,116.4142,1368,9,,,"Beijing, China",6.35097493,0.657894737,,,,,,,,,,,,
02-16-2022,,Beijing,China,2022-02-17 04:20:56,40.1824,116.4142,1368,9,,,"Beijing, China",6.35097493,0.657894737,,,,,,,,,,,,
02-17-2022,,Beijing,China,2022-02-18 04:21:04,40.1824,116.4142,1368,9,,,"Beijing, China",6.35097493,0.657894737,,,,,,,,,,,,
02-18-2022,,Beijing,China,2022-02-19 04:21:11,40.1824,116.4142,1372,9,,,"Beijing, China",6.369545032,0.655976676,,,,,,,,,,,,
02-19-2022,,Beijing,China,2022-02-20 04:21:00,40.1824,116.4142,1378,9,,,"Beijing, China",6.397400186,0.653120464,,,,,,,,,,,,
